feature,low,high,sep,mode,q
content_ratio,0.018902229761179085,0.02892520985448677,0.16270432805358628,q0.5_range,0.0
mean_word_len,-0.010020673196817834,0.15134762394336843,0.41946776157702126,q0.5_range,0.0
long_word_rate,-0.006513103865515295,0.012275712934754513,0.36041497615296875,q0.5_range,0.0
mean_sent_len,0.44677453853591814,7.565481101728256,0.3087082535034921,q0.5_range,0.0
sd_sent_len,1.0056535863128055,5.524426715521204,0.3223967429718407,q0.5_range,0.0
sent_len_burst,0.0367113416422796,0.05481225167472263,0.07990706389785295,q0.5_range,0.0
n_sents_per_100w,0.4827605188950122,-0.8357258952034579,-0.49410097741299186,q0.5_range,0.0
subordinator_rate,0.00013039121289446675,0.0025921535805142216,0.1354527100422903,q0.5_range,0.0
function_rate,-0.018902229761179067,-0.028925209854486843,-0.16270432805358775,q0.5_range,0.0
connective_rate,-0.00020550853082482542,0.00025349910979119796,0.10496646475409174,q0.5_range,0.0
hedge_rate,-0.00033236404779911203,0.0012566489696280011,0.23043693176996208,q0.5_range,0.0
pron12_rate,0.0029059766864670965,-0.0010652857947204431,-0.13544944055766608,q0.5_range,0.0
comma_rate,-0.0001516874979513413,-0.002006842133080303,-0.3548225435187154,q0.5_range,0.0
punct_rate,0.0018996936371496742,-0.0024156858230527517,-0.4433547322082267,q0.5_range,0.0
quote_rate,0.002530312804870145,-0.0007782755694688423,-0.341586320809061,q0.5_range,0.0
paren_rate,0.00027544176682441773,0.00018278995074241702,-0.016652711628231925,q0.5_range,0.0
dash_rate,1.9242850296012446e-05,0.00016251523379540118,0.06319008108273402,q0.5_range,0.0
digit_rate,0.002243846296059114,0.00018300303029025432,-0.17399812689153987,q0.5_range,0.0
upper_rate,0.0036427936429471643,-0.001825397018006652,-0.3557197844670076,q0.5_range,0.0
linebreak_per_100w,-0.5034535116871804,0.5083871776820447,0.40235796068179314,q0.5_range,0.0
bullet_rate,-0.05681419113026575,0.041234939308185586,0.3366965697480997,q0.5_range,0.0
question_rate,0.011815777870718342,0.023145978135475653,0.08912315864137517,q0.5_range,0.0
exclaim_rate,0.024315754805060204,0.05244614951546623,0.15559456609049663,q0.5_range,0.0
mean_log_rank,0.10820543541278188,0.12570445675849298,0.040723123700676496,q0.5_range,0.0
rare_word_rate,-0.0009849750379972535,-0.00695478318063951,-0.11458758779919632,q0.5_range,0.0
rep_axis,1.4508493748094018e-15,-1.204262239788516e-15,-2.804672811596529,q0.5_range,0.0
content_ratio,0.01977581558775438,0.028545537795994214,0.13941250657367857,q0.5_range,0.05
mean_word_len,-0.012674322092884677,0.15207400992734285,0.4242446366469025,q0.5_range,0.05
long_word_rate,-0.00648286530937091,0.012783019650665613,0.36722749410471756,q0.5_range,0.05
mean_sent_len,0.8278092104341865,7.5980734531470056,0.2890154260072009,q0.5_range,0.05
sd_sent_len,1.5791605378383458,5.554934464694334,0.2680949403105856,q0.5_range,0.05
sent_len_burst,0.04218623263148495,0.057182742437038664,0.06575628585414749,q0.5_range,0.05
n_sents_per_100w,0.44669687748431336,-0.8262104433561416,-0.47142739220599833,q0.5_range,0.05
subordinator_rate,0.00023340370075381367,0.002592620568199414,0.13013188916654372,q0.5_range,0.05
function_rate,-0.01977581558775436,-0.028545537795994277,-0.13941250657367987,q0.5_range,0.05
connective_rate,-0.00010421917203413726,0.00027960187938260643,0.08718352296142136,q0.5_range,0.05
hedge_rate,-0.0005669632479631597,0.0012695294041935722,0.2833873888792246,q0.5_range,0.05
pron12_rate,0.0031880861251264614,-0.0009982122715636347,-0.14058091058704605,q0.5_range,0.05
comma_rate,0.00013888003768171796,-0.001984381614733756,-0.38846881336328676,q0.5_range,0.05
punct_rate,0.0022371583887057806,-0.002306111696746512,-0.46223884240977614,q0.5_range,0.05
quote_rate,0.0024204123195266615,-0.0007783673494410526,-0.33060646792958964,q0.5_range,0.05
paren_rate,0.000306739313707457,0.00021549326244172724,-0.016406500618713016,q0.5_range,0.05
dash_rate,0.00018341542056107826,0.00012916489611239905,-0.019072711274076365,q0.5_range,0.05
digit_rate,0.002169186482281058,0.00018097924066276451,-0.1700806072752813,q0.5_range,0.05
upper_rate,0.0032800890840563365,-0.0018133428867135215,-0.33045903992724723,q0.5_range,0.05
linebreak_per_100w,-0.5399664739242853,0.5093800145948904,0.42102423277854123,q0.5_range,0.05
bullet_rate,-0.04337914878051165,0.041317477419248405,0.30247014793135074,q0.5_range,0.05
question_rate,0.011545082558465408,0.025395958038031546,0.1081960944191022,q0.5_range,0.05
exclaim_rate,0.02493453292257161,0.05558234198869788,0.1673532703284942,q0.5_range,0.05
mean_log_rank,0.11291121340041758,0.11943581715548199,0.014961897002517346,q0.5_range,0.05
rare_word_rate,-0.0004149908755502729,-0.007534256728370633,-0.13692637547978367,q0.5_range,0.05
rep_axis,1.4813609928555133e-15,-1.2040400967278286e-15,-2.8348326539723945,q0.5_range,0.05
content_ratio,0.01933863109029599,0.028579451624656124,0.14694699445503073,q0.5_range,0.1
mean_word_len,-0.011396579330763696,0.15282548274019014,0.42424425219983697,q0.5_range,0.1
long_word_rate,-0.0063451638882104314,0.012928884689543875,0.36871341902948945,q0.5_range,0.1
mean_sent_len,0.5939100996427621,7.6094588945213095,0.2999675772382734,q0.5_range,0.1
sd_sent_len,1.3457616067244957,5.610253059510175,0.28934146063432176,q0.5_range,0.1
sent_len_burst,0.03920581539500668,0.05932515341405142,0.08867527450897372,q0.5_range,0.1
n_sents_per_100w,0.47218532549380443,-0.8264723378423301,-0.4832206863165463,q0.5_range,0.1
subordinator_rate,0.0003610742186871296,0.002501730671664,0.11800822310659351,q0.5_range,0.1
function_rate,-0.019338631090295974,-0.028579451624656187,-0.146946994455032,q0.5_range,0.1
connective_rate,-0.00014109712529906493,0.00030507248891258363,0.10138225928176073,q0.5_range,0.1
hedge_rate,-0.000790867205622174,0.0012585949559202677,0.3270161639911739,q0.5_range,0.1
pron12_rate,0.0037613950678073316,-0.0011117992725114556,-0.16378207684662496,q0.5_range,0.1
comma_rate,0.00010924413526071157,-0.001983895053211691,-0.38186797140775697,q0.5_range,0.1
punct_rate,0.0022625510282017966,-0.002312647598393393,-0.46567224738087465,q0.5_range,0.1
quote_rate,0.002353836256453051,-0.0007890637758582178,-0.3256682893484828,q0.5_range,0.1
paren_rate,0.00026998475395534366,0.00022906272212830535,-0.007349364337993166,q0.5_range,0.1
dash_rate,0.00018669965278423628,0.00013789624320654367,-0.017168544146663894,q0.5_range,0.1
digit_rate,0.0021822567060249495,0.00034253270201135355,-0.15573328460562266,q0.5_range,0.1
upper_rate,0.003313765903721019,-0.0017257162627691601,-0.3272693229444959,q0.5_range,0.1
linebreak_per_100w,-0.6903358867307,0.5091812422610179,0.8938452095902814,q0.5_range,0.1
bullet_rate,-0.04826515068004172,0.041300952758695296,0.31518340895136776,q0.5_range,0.1
question_rate,0.01170102987440766,0.02510477835974996,0.10469683074973145,q0.5_range,0.1
exclaim_rate,0.02496500641000969,0.05609736750586356,0.17019550362717636,q0.5_range,0.1
mean_log_rank,0.11003715811864784,0.12219171768393554,0.027850726809559728,q0.5_range,0.1
rare_word_rate,-0.00016567724897113167,-0.0068596801853797375,-0.1284285112769156,q0.5_range,0.1
rep_axis,1.4810863075757502e-15,-1.202894323918637e-15,-2.840301280172211,q0.5_range,0.1
content_ratio,0.018966472138649694,0.027978612052821025,0.14276168748553997,q0.5_range,0.15
mean_word_len,-0.011901389246997685,0.1515017853368581,0.418560567539828,q0.5_range,0.15
long_word_rate,-0.007408939435366108,0.01274780112980581,0.38324762688468994,q0.5_range,0.15
mean_sent_len,0.4996860658229403,7.584860229233462,0.3024524731611365,q0.5_range,0.15
sd_sent_len,1.3276965704664436,5.47990423572371,0.2814272011838888,q0.5_range,0.15
sent_len_burst,0.038853658301870785,0.05416434066781218,0.06754157660492076,q0.5_range,0.15
n_sents_per_100w,0.46674288685950494,-0.8160484093831855,-0.47726932798630617,q0.5_range,0.15
subordinator_rate,0.0006761581949896034,0.0022905451660525686,0.08952128768099216,q0.5_range,0.15
function_rate,-0.018966472138649677,-0.02797861205282109,-0.1427616874855413,q0.5_range,0.15
connective_rate,-0.0001259631556390472,0.00026168647726884496,0.08815736692730394,q0.5_range,0.15
hedge_rate,-0.0006408632614588593,0.001283242694255769,0.2915704149720585,q0.5_range,0.15
pron12_rate,0.003625089509151423,-0.0014435226359065414,-0.17001162338754966,q0.5_range,0.15
comma_rate,-2.6850307381508595e-05,-0.002019989220170883,-0.37157702912688817,q0.5_range,0.15
punct_rate,0.0020179760602771087,-0.0023586221337362824,-0.45299116377990734,q0.5_range,0.15
quote_rate,0.0023512308079470965,-0.0007119158853519586,-0.3171624803524308,q0.5_range,0.15
paren_rate,0.0002894438688944954,0.00018148758359733022,-0.019390959773198633,q0.5_range,0.15
dash_rate,0.00016199787879211337,0.0001235463750398832,-0.013602705495416206,q0.5_range,0.15
digit_rate,0.0021685350963623422,0.00024227351794894894,-0.1620638406635012,q0.5_range,0.15
upper_rate,0.0029093278935921475,-0.0017170696842992946,-0.3079596804992132,q0.5_range,0.15
linebreak_per_100w,-0.6952615439755258,0.5071902415884232,0.9008089678056618,q0.5_range,0.15
bullet_rate,-0.0577301059910264,0.04111224260196726,0.36692190441767264,q0.5_range,0.15
question_rate,0.0118420780918983,0.025874394124905487,0.10968030547486475,q0.5_range,0.15
exclaim_rate,0.025705839787407248,0.05817939547538402,0.17820425962971043,q0.5_range,0.15
mean_log_rank,0.11048274124800467,0.12412626282330949,0.03119936862777111,q0.5_range,0.15
rare_word_rate,-0.0002606860987382703,-0.005839242160531376,-0.10747283582042252,q0.5_range,0.15
rep_axis,1.4899750872353657e-15,-1.2049271544666594e-15,-2.862370514674665,q0.5_range,0.15
content_ratio,0.0185734401903921,0.028541173522711523,0.15782471444556204,q0.5_range,0.2
mean_word_len,-0.014839629312112558,0.1481751475325457,0.4193061927415907,q0.5_range,0.2
long_word_rate,-0.007728096292668602,0.011793539558014545,0.37304478163005866,q0.5_range,0.2
mean_sent_len,0.4585677527262416,7.492102409603352,0.2990089847049227,q0.5_range,0.2
sd_sent_len,1.611640003627061,5.352418558818403,0.24829947254824955,q0.5_range,0.2
sent_len_burst,0.043868598944753055,0.05132967369234001,0.0329555368237058,q0.5_range,0.2
n_sents_per_100w,0.4843178563959721,-0.8196737072289977,-0.4840804590904513,q0.5_range,0.2
subordinator_rate,0.0005339344474053656,0.002110637609594372,0.08686649283983743,q0.5_range,0.2
function_rate,-0.018573440190392084,-0.028541173522711585,-0.1578247144455633,q0.5_range,0.2
connective_rate,-0.00013460678646319226,0.0003252792521674258,0.10466555307448672,q0.5_range,0.2
hedge_rate,-0.0007235376885504799,0.0012355173521016501,0.2987776741395587,q0.5_range,0.2
pron12_rate,0.003017133673218355,-0.0018090414271185185,-0.1605063074742286,q0.5_range,0.2
comma_rate,-2.208734586742752e-05,-0.0020422424129876086,-0.3758177417380151,q0.5_range,0.2
punct_rate,0.002011737855779935,-0.002363195527629332,-0.4521756772793831,q0.5_range,0.2
quote_rate,0.0023428987826624036,-0.0007945523353861883,-0.32368451448315677,q0.5_range,0.2
paren_rate,0.000361446329560638,0.00019311133402635322,-0.03003360549172258,q0.5_range,0.2
dash_rate,6.213647769001343e-05,0.0001458530369162383,0.030278976486373312,q0.5_range,0.2
digit_rate,0.001789746550755329,0.00018753123182806535,-0.13603040265360075,q0.5_range,0.2
upper_rate,0.0028950465754391027,-0.0017186052660122387,-0.3035779988654133,q0.5_range,0.2
linebreak_per_100w,-0.6596026668706318,0.5056529923650092,0.8932529647759272,q0.5_range,0.2
bullet_rate,-0.05790346749437059,0.04098444553329289,0.36708535866240716,q0.5_range,0.2
