токен,класс,k,до ближайшего,сосед свой
for,подслово,1,0.7195740499535556,False
strong,подслово,1,0.7979204342811936,False
/,пункт,1,0.6537675561109074,False
stable,подслово,1,0.7507144204748659,False
Ġat,служ,2,0.5017112167881345,True
Ġagainst,служ,1,0.8054280200659668,False
ary,подслово,2,0.2835232044980674,True
Ġlinks,смысл-редк,1,0.7076820108920019,False
ĠV,смысл-част,4,0.22137838164396095,True
Ġshow,смысл-част,1,0.5675943782499008,False
Ġadversary,смысл-редк,3,0.32396113336440846,True
d,подслово,3,0.3385467033127479,True
Ġwhich,служ,1,0.7724322565247445,False
Ġcommunication,смысл-редк,1,0.7805714535773622,False
Ċ,пункт,13,0.3073627291080561,True
1,пункт,1,0.8081640926242777,False
J,подслово,2,0.21872424401975246,True
k,подслово,6,0.40232526791892254,True
k,подслово,6,0.4408982723806801,True
ability,подслово,1,0.6770045583852989,False
",",пункт,10,0.36182805691602865,True
Ġdetermined,смысл-редк,1,0.7605046843767252,False
Ġgrace,смысл-редк,1,0.8414706297959165,False
ĠWe,служ,3,0.21222027999463483,True
Ġthe,служ,6,0.3432861377862366,True
Ġnumber,смысл-част,1,0.7555528252744087,False
Ġcausal,смысл-редк,1,0.6794944801026416,False
cons,подслово,1,0.8899320533489249,False
Ċ,пункт,13,0.26074885480336807,True
:,пункт,1,0.6894726133516251,False
have,подслово,1,0.8191368729210223,False
Ġdistributed,смысл-редк,1,0.5686461985825499,False
Ċ,пункт,13,0.18481981770870232,True
.,пункт,2,0.38050268904597195,True
We,подслово,1,0.4616318182606595,False
Ġmost,служ,1,0.8153045098795028,False
Ġ(,пункт,2,0.5515372938045343,True
$-,пункт,2,0.3856244552533584,True
),пункт,8,0.286414353686189,True
Ġwe,служ,1,0.39168973990380906,False
Ġunder,служ,1,0.7798666838225049,False
Ġthe,служ,6,0.3995197768595985,True
uniform,подслово,1,0.7188307325602993,False
Ġthe,сток,6,0.05989242567316732,True
Ġis,служ,4,0.548485778537223,True
Ġcorrectly,смысл-редк,1,0.7148343071822286,False
Ġwith,служ,2,0.5360736726907845,True
",",пункт,10,0.35875857822319424,True
Ċ,пункт,13,0.2619834885382461,True
(,пункт,5,0.1699585993165645,True
),пункт,8,0.5389603251440321,True
Ċ,пункт,13,0.22194847200137732,True
Ġdynamic,смысл-редк,3,0.2546388319855102,True
Ġdegrad,смысл-редк,1,0.7819584687184972,False
Ġnot,служ,1,0.7861055685527691,False
ens,подслово,1,0.81575943532975,False
Ġrun,смысл-част,1,0.7399171336930853,False
Ġcombines,смысл-редк,1,0.6772633598176562,False
Ġa,служ,5,0.387849519674306,True
k,подслово,6,0.3449215570372764,True
Ġadvers,смысл-редк,1,0.6651180198048202,False
Ġa,служ,5,0.387849519674306,True
Ċ,пункт,13,0.18481981770870232,True
Ġprove,смысл-редк,1,0.5675943782499008,False
ary,подслово,2,0.2835232044980674,True
Ġstudy,смысл-част,1,0.6664969009176596,False
k,подслово,6,0.28248607463001374,True
Ġmessage,смысл-редк,4,0.33633960319628464,True
),пункт,8,0.286414353686189,True
Ġdirected,смысл-редк,1,0.6085157968872458,False
$),пункт,1,0.8050262356429635,False
Ġor,служ,1,0.8267483042363949,False
",",пункт,10,0.2595012334383835,True
Ġ2,пункт,1,0.5545813320549261,False
Ġof,служ,2,0.4719824654632982,True
Ġof,служ,2,0.4719824654632982,True
Ġadversary,смысл-редк,3,0.3219071484000584,True
infty,подслово,1,0.8822550838759046,False
Ġflow,смысл-редк,1,0.6723551644737397,False
ĠWe,служ,3,0.21222027999463483,True
Ġconditions,смысл-част,1,0.686871375402629,False
).,пункт,1,0.6885042588118869,False
.,пункт,2,0.38050268904597195,True
Ġsynchronous,смысл-редк,1,0.5686461985825499,False
Ġin,служ,3,0.5902232119014605,True
Ġconsensus,смысл-редк,1,0.6308578646856828,False
Ġsmall,смысл-част,1,0.7419737958506936,False
",",пункт,10,0.24340044825823548,True
ĠMA,смысл-редк,1,0.7723452659612242,False
Ġwhere,служ,1,0.7475144624132737,False
",",пункт,10,0.36182805691602865,True
(,пункт,5,0.22217828580829302,True
Ġresults,смысл-част,1,0.7527600967346975,False
Ġthe,сток,6,0.05989242567316732,True
