набор,текст,условие,q* лексический,разрыв наблюдаемый,качество разреза,доля одинаковых,разрыв − q*
механические,0,исходный,0.385,0.38999999999999996,0.9700000000000001,0.3833333333333333,0.004999999999999949
механические,0,перемешивание,0.40666666666666673,0.38999999999999996,0.9683333333333333,0.40499999999999997,-0.016666666666666774
механические,0,эхо x2,0.5216666666666666,0.535,0.9700000000000001,0.5216666666666666,0.01333333333333342
механические,0,эхо x4,0.655,0.6433333333333334,0.975,0.655,-0.011666666666666603
механические,0,эхо на четверти,0.42,0.41333333333333333,0.9733333333333333,0.42,-0.006666666666666654
механические,0,словарь к 25,0.6266666666666666,0.6150000000000001,0.9683333333333333,0.6266666666666666,-0.011666666666666492
механические,0,словарь к 60,0.5083333333333333,0.5,0.9666666666666667,0.5066666666666667,-0.008333333333333304
механические,0,все слова разные,0.31,0.3016666666666667,0.9783333333333334,0.31,-0.008333333333333304
механические,0,чужие хапаксы,0.38000000000000006,0.365,0.985,0.38000000000000006,-0.015000000000000069
механические,0,хапаксы одного домена,0.38999999999999996,0.36999999999999994,0.9733333333333333,0.38999999999999996,-0.020000000000000018
механические,0,20 чужих хапаксов,0.40499999999999997,0.41,0.9783333333333334,0.40499999999999997,0.0050000000000000044
механические,0,маркер каждые 3,0.465,0.455,0.9699999999999999,0.465,-0.010000000000000009
механические,0,без пунктуации,0.4133333333333334,0.42,0.9733333333333333,0.4133333333333334,0.006666666666666599
механические,0,без служебных,0.395,0.395,0.9499999999999998,0.395,0.0
механические,1,исходный,0.3516666666666666,0.3333333333333333,0.9716666666666667,0.3516666666666666,-0.018333333333333313
механические,1,перемешивание,0.32,0.29666666666666663,0.96,0.32,-0.023333333333333373
механические,1,эхо x2,0.4766666666666666,0.465,0.9616666666666666,0.4766666666666666,-0.011666666666666603
механические,1,эхо x4,0.6983333333333333,0.6883333333333334,0.9666666666666667,0.695,-0.009999999999999898
механические,1,эхо на четверти,0.39333333333333337,0.37666666666666665,0.9733333333333333,0.38999999999999996,-0.01666666666666672
механические,1,словарь к 25,0.5966666666666667,0.5633333333333334,0.945,0.5916666666666667,-0.033333333333333326
механические,1,словарь к 60,0.45166666666666666,0.4266666666666667,0.9466666666666667,0.45,-0.024999999999999967
механические,1,все слова разные,0.2816666666666667,0.2733333333333333,0.9783333333333334,0.2816666666666667,-0.00833333333333336
механические,1,чужие хапаксы,0.30666666666666664,0.3116666666666667,0.9700000000000001,0.305,0.00500000000000006
механические,1,хапаксы одного домена,0.31166666666666665,0.3233333333333333,0.9683333333333333,0.31166666666666665,0.011666666666666659
механические,1,20 чужих хапаксов,0.33666666666666667,0.31666666666666665,0.9766666666666666,0.33666666666666667,-0.020000000000000018
механические,1,маркер каждые 3,0.4183333333333333,0.41,0.9683333333333334,0.4183333333333333,-0.008333333333333304
механические,1,без пунктуации,0.315,0.295,0.9666666666666667,0.315,-0.020000000000000018
механические,1,без служебных,0.2816666666666667,0.26666666666666666,0.9666666666666667,0.27999999999999997,-0.015000000000000013
механические,2,исходный,0.3933333333333333,0.36833333333333335,0.9516666666666667,0.3933333333333333,-0.024999999999999967
механические,2,перемешивание,0.38833333333333336,0.3633333333333333,0.9616666666666666,0.38833333333333336,-0.025000000000000078
механические,2,эхо x2,0.51,0.48,0.9566666666666667,0.51,-0.030000000000000027
механические,2,эхо x4,0.645,0.6366666666666666,0.9716666666666667,0.6416666666666667,-0.008333333333333415
механические,2,эхо на четверти,0.4266666666666667,0.4183333333333333,0.9516666666666667,0.4266666666666667,-0.008333333333333415
механические,2,словарь к 25,0.6,0.5766666666666667,0.9716666666666667,0.5983333333333333,-0.023333333333333317
механические,2,словарь к 60,0.4883333333333333,0.48333333333333334,0.9683333333333333,0.4883333333333333,-0.004999999999999949
механические,2,все слова разные,0.18666666666666668,0.16666666666666666,0.98,0.18666666666666668,-0.020000000000000018
механические,2,чужие хапаксы,0.3983333333333334,0.375,0.9666666666666667,0.3983333333333334,-0.023333333333333373
механические,2,хапаксы одного домена,0.39999999999999997,0.37666666666666665,0.9666666666666667,0.39999999999999997,-0.023333333333333317
механические,2,20 чужих хапаксов,0.37833333333333335,0.37833333333333335,0.9533333333333333,0.37833333333333335,0.0
механические,2,маркер каждые 3,0.46166666666666667,0.4283333333333333,0.9633333333333333,0.46166666666666667,-0.03333333333333338
механические,2,без пунктуации,0.41500000000000004,0.375,0.9533333333333333,0.41500000000000004,-0.040000000000000036
механические,2,без служебных,0.37333333333333335,0.3466666666666667,0.9666666666666667,0.37333333333333335,-0.026666666666666672
механические,3,исходный,0.33,0.3333333333333333,0.945,0.32833333333333337,0.0033333333333332993
механические,3,перемешивание,0.32,0.2866666666666667,0.9333333333333332,0.32,-0.033333333333333326
механические,3,эхо x2,0.4633333333333334,0.47,0.9633333333333333,0.4633333333333334,0.006666666666666599
