feature,low,high,sep,mode,q
ttr,-0.07269314021681664,0.04147076006058213,2.3466342807826117,q0.5_range,0.0
hapax,-0.07823610282778005,0.05202453868092971,2.155016731633353,q0.5_range,0.0
top1_share,0.012904040227439595,-0.0021839359618557462,-0.7115528915064316,q0.5_range,0.0
top10_share,0.043123768964602724,-0.019754461770885027,-1.5382744164861817,q0.5_range,0.0
word_entropy,-0.1997568550977382,0.09468949012821883,2.1455648381164774,q0.5_range,0.0
zipf_slope,-0.08318276364325508,0.047289656590230086,2.2160884398452727,q0.5_range,0.0
content_ratio,-0.016393987120048623,0.00826866049498596,0.6035290667897023,q0.5_range,0.0
content_ttr,-0.08746869809361636,0.04834677015540403,1.968406566838941,q0.5_range,0.0
bigram_repeat,0.08527252781259424,-0.02765915824653004,-2.304107672607325,q0.5_range,0.0
trigram_repeat,0.05831743463502923,-0.013947354590021976,-1.8479666591774324,q0.5_range,0.0
mean_word_len,-0.054352698247707894,0.019142491851201596,0.21870847708731392,q0.5_range,0.0
long_word_rate,-0.0013502483326061354,-0.00292551552569211,-0.0323893598022866,q0.5_range,0.0
mean_sent_len,2.2378941790218922,1.4836975425290229,-0.08367927642806464,q0.5_range,0.0
sd_sent_len,0.8811397860486987,1.2388552331579215,0.04341935758547081,q0.5_range,0.0
sent_len_burst,-0.03471887231577121,0.02482182573025904,0.38198230750421336,q0.5_range,0.0
n_sents_per_100w,-0.3038834545309167,-0.2963036458094811,0.005564523489347659,q0.5_range,0.0
subordinator_rate,0.0012432861088965408,0.0010106428577843134,-0.019718313311417726,q0.5_range,0.0
function_rate,0.01639398712004863,-0.00826866049498597,-0.6035290667897025,q0.5_range,0.0
connective_rate,0.00014970903319828314,4.223385409300881e-05,-0.029508429577599905,q0.5_range,0.0
hedge_rate,0.0008040481062873282,0.0003274728661034454,-0.0650141631780874,q0.5_range,0.0
pron12_rate,-0.0026175519596317674,-0.004953467180141715,-0.10670713295160472,q0.5_range,0.0
comma_rate,-7.88448785033486e-05,-0.00029218928147191575,-0.0523393036181246,q0.5_range,0.0
punct_rate,-0.00036458716180369613,-0.0008397753500951825,-0.08232578385619511,q0.5_range,0.0
quote_rate,0.00013088358796281089,2.602681865555716e-05,-0.019830953383977664,q0.5_range,0.0
paren_rate,-0.000663604125152711,0.0004757749431761385,0.24891861921808942,q0.5_range,0.0
dash_rate,-0.00022148411132255259,8.829260168974187e-05,0.1313640443901434,q0.5_range,0.0
digit_rate,-5.2843244088126436e-05,0.00048774630272686246,0.046898569335454034,q0.5_range,0.0
