вариант,integration,coherence,domains,novelty,literacy,template,punctuation,syntax_complexity,semantic_complexity,naturalness
человек (опорный),"Every technical term and content word, such as ""ergodic theory"" and ""curriculum learning,"" fits the scientific context precisely.",The text logically moves from stating a general scientific problem to describing the proposed methodology and its specific results.,"The passage stays focused on machine learning applications for physics and dynamical systems, incorporating related mathematical metrics like entropy.","Each sentence advances the abstract by introducing new aspects of the research, moving from the overarching problem to curriculum learning, entropy metrics, and findings.","The text is written in clear, flawless, and publishable academic English.","The text follows standard academic abstract conventions, moving smoothly through context, methodology, and contributions without relying on explicit repeating frames or list structures.","Commas, colons, and semicolons are used correctly throughout the text to set off clauses and structure complex thoughts.",The text features sophisticated sentence structures with multiple embedded subordinate clauses and introductory participial phrases.,"The concepts require tracking abstract mathematical and computational ideas across the text, such as using ergodic theory and dataset entropy for curriculum learning.",The prose reads exactly like a well-crafted abstract for a high-level scientific journal or conference paper.
человек 1,"The content words precisely fit the theological and historical topic of Lutheran catechisms, though the lower half degenerates into list fragments.","The text opens with a coherent historical overview before devolving into unstructured lists of book titles, index topics, and search tags.","The text stays strictly within the domain of Lutheran theology, church history, and catechetical resources.","The text rapidly repeats the same core topics—such as the Creed, Baptism, and the Lord's Prayer—through different list variations.","The opening paragraph consists of well-formed prose, but the remainder disintegrates into comma-separated keyword lists and fragments.",The latter half is heavily structured by repeating frames of book titles and catechism section names.,"Punctuation is used correctly in the initial prose, but degenerates into long strings of comma-separated items without sentence-ending punctuation.","The text begins with compound and complex sentences containing relative clauses, but quickly loses sentence structure entirely in favour of raw lists.","The opening offers simple historical and doctrinal descriptions, while the rest consists of bare topical labels with no sustained argument.",The text appears to be scraped from a website or catalog entry where prose paragraphs are combined with raw metadata tags and product titles.
человек 2,Every technical term and content word is used with precise domain accuracy within distributed computing theory.,"The text forms a logical and continuous academic abstract, moving smoothly from defining the problem to introducing new concepts, proving bounds, and discussing implications.",The content focuses entirely on distributed agreement algorithms and dynamic network theory.,"The text steadily introduces new concepts, bounds, and algorithms sentence by sentence without restating previous claims.",The text is well-formed academic prose with clear LaTeX mathematical notation embedded appropriately.,It follows standard academic abstract conventions without using explicit frames or rigid repeated sentence patterns.,"Punctuation is correctly applied throughout, accurately handling complex mathematical variables and clause boundaries.","The sentences feature multiple embedded clauses, complex conditional structures, and varied syntactic framing.","The text relies on highly abstract theoretical computer science concepts, mathematical parameters, and layered proofs.",The passage reads naturally as a publishable abstract from a theoretical computer science conference or journal.
loop_local_3,"The underlying academic vocabulary fits the scientific domain precisely, but the words are repeatedly disrupted by verbatim phrase stuttering.","The text loops and stutters endlessly across short phrase boundaries, preventing the argument from advancing.",The text stays strictly within the single academic subject of scientific system modeling and prediction.,Almost the entire passage consists of four identical repetitions of the same opening sentences broken up phrase by phrase.,Sentence structure is severely damaged by immediate repetitive stuttering that breaks clauses apart multiple times per sentence.,"The writing is governed by a rigid, artificial stuttering repetition pattern applied every few words throughout the text.","Basic punctuation marks like commas and colons exist from the original text, but they appear in disjointed positions due to the repetitive phrase splices.","The text's word order is severely corrupted by phrase-level duplication, rendering true syntax evaluation impossible.","The text is too heavily degraded by phrase repetitions to convey a coherent, trackable argument.","The extreme, mechanical phrase-repetition defect does not correspond to any natural genre of writing."
loop_phrase,"The underlying fragments contain fitting academic vocabulary, but they are repeatedly interrupted by arbitrary pasted phrase repetitions.",The text cannot advance a unified argument because the same phrase is loops verbatim dozens of times across the passage.,"The text remains confined to a single domain of complex systems, machine learning, physics, and data entropy.","The text repeats the exact same long string of words over and over, introducing almost no new information past the fragments.","Repeating a long phrase repeatedly creates ungrammatical, broken sentence structures throughout the entire passage.",The text is severely corrupted by an identical repeating phrase inserted mechanically at regular intervals.,"Punctuation is incomplete and broken by the repetitive phrase insertions, leaving fragments unclosed.","The sentence structure is destroyed by infinite looping repetitions, making syntax impossible to meaningfully evaluate.","Meaning is severely disrupted by constant textual loops, preventing coherent semantic evaluation.",No human author or valid genre would produce text that loops the same fragment dozens of times verbatim.
loop_tail_early,"The initial scientific vocabulary fits its context perfectly, but the infinite repetition of ""constraints. Not surprisingly,"" distorts the text.","The text begins to develop an academic argument before collapsing into an endless, mechanical loop of two repeated words.",The excerpt remains strictly confined to a single scientific modeling domain without bringing in outside fields or broad perspectives.,"After introducing a single preliminary idea, the text halts entirely, adding zero new information due to an infinite phrase loop.","The opening sentences consist of publishable academic prose, but the massive repetition of fragmented words severely degrades overall readability.",The main body of the text consists of a single phrasal sequence repeated identically dozens of times in succession.,"Punctuation is accurate in the well-formed opening section, but becomes a monotonous, repeating mechanical artifact in the loop.","The text degenerates into a endless word repetition, rendering overall sentence complexity impossible to rate.",Severe repetitive damage prevents the text from developing any sustained or coherent argument.,"The severe repetition loop is a clear sign of severe text corruption, making it impossible for a human to have written it for a real purpose."
echo_p25,"The text consists of standard scientific prose, though it suffers from repetitive word duplications caused by text corruption.","The passage presents a logical progression from the problem of modeling complex systems to a proposed curriculum learning solution, despite several duplicated phrases.","The text stays strictly within the domain of scientific modeling, machine learning, and dynamical systems theory.","The text steadily introduces new technical concepts, moving from general system prediction to curriculum learning and ergodic theory.","Severe phrase repetitions (e.g., ""behavior of complex systems is key behavior of complex systems is key"") break the grammatical continuity of almost every sentence.",The text is written as standard continuous prose without any explicit repeating structural frame or template.,"The underlying punctuation is correct according to standard English grammar, though duplicated text blocks disrupt the flow.","Sentences feature complex subordinate structures, participial phrases, and multi-layered clauses, though damaged by stuttered repetitions.","The content involves abstract scientific reasoning about ergodic theory, curriculum learning, and complex dynamical systems.",Mechanical stuttering and repeating phrases throughout the passage make it unnaturally corrupted.
collapse_vocab_10,"The text has been heavily damaged by pervasive word-substitution artifacts, repeating terms like ""learning,"" ""based,"" ""prediction,"" and ""complex"" out of syntactic context.","Because key content words are replaced with repeating placeholder tokens, the underlying argument cannot be logically tracked across sentences.","The text stays strictly within the general domain of machine learning and data-driven modeling of complex systems, despite its heavy structural degradation.",The severe word substitution makes it impossible for sentences to advance any coherent new information beyond repeating the same corrupted terminology.,"The text features broken clause structures, ungrammatical word order, and nonsensical fragments throughout every sentence.",The passage follows standard paragraph structure and typical academic paper phrasing without using any explicit repetitive template or frame.,"Sentence boundaries are marked with capital letters and periods, but internal punctuation is disrupted by broken sentence structures and erroneous hyphenated fragments like ""ex-nihilo"".",The syntax is too severely damaged by word substitution and broken clauses for structural complexity to be meaningfully evaluated.,"The semantic content is corrupted beyond repair by garbled word choices, rendering the text unable to communicate coherent ideas.","The high density of repeated, misapplied keywords makes the text completely artificial and recognizable as damaged synthetic text."
expand_vocab_100,"Content words appear arbitrarily inserted throughout, such as using ""radioactivity,"" ""villarreal,"" and ""angiograms"" in nonsensical contexts.",The text lacks any meaningful topic or logical connection between adjacent sentences.,"The writing jumps randomly between unrelated terms including infrared satellites, medical angiograms, military researchers, and grocery production.","Sentence after sentence introduces entirely new, unrelated terms and topics without building on previous material.","The text is severely degraded with broken grammar, bad agreement, and ungrammatical clause structures like ""we blocks the either of make introduced.""",It is written in standard continuous prose paragraphs without any specialized list or form-based template.,"Sentence boundaries are generally marked with capitalization and periods, though commas and colons are applied arbitrarily.",The text is too damaged and syntactically broken for syntax complexity to be evaluated meaningfully.,"The text is composed of incoherent word salad, making semantic evaluation impossible.",The passage is clearly machine-generated nonsense that serves no real-world genre or purpose.
shuffle_words,"The text consists of a severely scrambled bag of words from a machine learning paper, rendering word placement largely arbitrary and nonsensical throughout.","Because the word order has been completely destroyed, there are no meaningful connections between adjacent words or sentences to form a coherent piece.","Though scrambled, all the recognizable vocabulary centers around a single domain of scientific machine learning and complex dynamical systems.",The text is a chaotic jumble of fragmented phrases that fails to advance any clear ideas or information.,"Sentences do not exist and the word order is collapsed into unusable, non-grammatical fragments.",The text has no discernible organizational structure or repeating form whatsoever.,Punctuation marks appear randomly amid scrambled words and fail to delineate sound sentence boundaries.,"The word order is completely destroyed, making sentence syntax impossible to evaluate.",The text is too damaged for semantic content or logical argument to be tracked.,The severe word-scrambling makes the passage entirely artificial and unreadable in any human genre.
