полоса,контраст,n,d до,d после,сдвиг %,медиана %,выросло у,p
крупный,"выдумка, как есть → та же выдумка, гладко",47,20.3779,20.668,1.7445,1.244,0.617,0.2081
крупный,"та же выдумка, гладко → гладкая, факты исправлены",47,20.668,20.6566,0.3435,-0.0236,0.4894,0.8544
крупный,"гладкая, факты исправлены → абсурд, странные слова",47,20.6566,18.6051,-8.9517,-10.4972,0.1915,0.0
крупный,"гладкая, факты исправлены → абсурд, обычные слова",47,20.6566,18.1454,-11.5616,-13.0216,0.1915,0.0
крупный,"выдумка, как есть → гладкая, факты исправлены",47,20.3779,20.6566,1.6217,0.9864,0.5532,0.3468
крупный,"та же выдумка, гладко → правка прямо из исходника",47,20.668,20.1669,-2.2136,-1.9562,0.3404,0.0529
мелкий,"выдумка, как есть → та же выдумка, гладко",47,3.8577,3.6567,-4.3634,-3.4476,0.4043,0.0091
мелкий,"та же выдумка, гладко → гладкая, факты исправлены",47,3.6567,3.6314,-0.0497,-1.6429,0.4681,0.7651
мелкий,"гладкая, факты исправлены → абсурд, странные слова",47,3.6314,3.7578,3.9876,3.0076,0.5532,0.0644
мелкий,"гладкая, факты исправлены → абсурд, обычные слова",47,3.6314,3.8217,5.4974,4.0446,0.7447,0.0008
мелкий,"выдумка, как есть → гладкая, факты исправлены",47,3.8577,3.6314,-5.0114,-6.2947,0.3404,0.0014
мелкий,"та же выдумка, гладко → правка прямо из исходника",47,3.6567,3.6162,-0.3999,1.2171,0.5106,0.7175
средний,"выдумка, как есть → та же выдумка, гладко",47,18.2006,18.1139,-0.3515,-0.3253,0.4681,0.6558
средний,"та же выдумка, гладко → гладкая, факты исправлены",47,18.1139,17.9488,-0.737,-2.0418,0.4255,0.2953
средний,"гладкая, факты исправлены → абсурд, странные слова",47,17.9488,17.7029,-0.8894,-1.5105,0.4681,0.4278
средний,"гладкая, факты исправлены → абсурд, обычные слова",47,17.9488,16.969,-5.1139,-5.1738,0.2553,0.0001
средний,"выдумка, как есть → гладкая, факты исправлены",47,18.2006,17.9488,-1.2647,-1.8166,0.3404,0.141
средний,"та же выдумка, гладко → правка прямо из исходника",47,18.1139,17.8179,-1.4817,-2.1946,0.383,0.1529
