вариант,integration,coherence,domains,novelty,literacy,template,punctuation,syntax_complexity,semantic_complexity,naturalness
человек (опорный),9.0,8.0,7.0,7.0,9.0,5.0,9.0,8.0,8.0,9.0
человек 1,6.0,4.0,5.0,3.0,5.0,8.0,5.0,4.0,4.0,4.0
человек 2,9.0,9.0,7.0,7.0,9.0,5.0,9.0,8.0,8.0,9.0
loop_local_3,5.0,3.0,5.0,2.0,3.0,8.0,4.0,,,2.0
loop_phrase,4.0,2.0,5.0,2.0,3.0,8.0,3.0,,,1.0
loop_tail_early,5.0,3.0,5.0,2.0,4.0,9.0,5.0,,,2.0
echo_p25,6.0,6.0,7.0,7.0,4.0,5.0,6.0,7.0,7.0,3.0
collapse_vocab_10,2.0,2.0,5.0,2.0,2.0,5.0,4.0,,,1.0
expand_vocab_100,2.0,2.0,9.0,9.0,3.0,5.0,6.0,,,1.0
shuffle_words,2.0,1.0,5.0,2.0,2.0,1.0,2.0,,,1.0
ngram_2,2.0,2.0,9.0,9.0,3.0,2.0,3.0,,,1.0
ngram_4,3.0,2.0,9.0,9.0,3.0,5.0,4.0,,,1.0
marker_p3,3.0,6.0,7.0,7.0,4.0,5.0,5.0,7.0,7.0,2.0
hapax_swap_wide,3.0,4.0,8.0,8.0,3.0,5.0,6.0,6.0,,2.0
inject_topic,6.0,6.0,6.0,7.0,7.0,5.0,8.0,8.0,8.0,6.0
syn_none,9.0,9.0,6.0,7.0,9.0,5.0,9.0,8.0,8.0,9.0
syn_max,8.0,8.0,7.0,7.0,8.0,5.0,8.0,8.0,8.0,8.0
style_literary,9.0,9.0,7.0,7.0,9.0,5.0,9.0,9.0,8.0,9.0
essay_one_topic,9.0,9.0,6.0,7.0,9.0,5.0,9.0,8.0,8.0,9.0
script_events,8.0,8.0,7.0,7.0,8.0,6.0,8.0,4.0,6.0,8.0
style_record_fields,8.0,6.0,7.0,8.0,9.0,9.0,9.0,8.0,8.0,8.0
style_catechism,8.0,6.0,7.0,7.0,9.0,9.0,9.0,8.0,8.0,5.0
style_code,9.0,8.0,7.0,7.0,9.0,8.0,9.0,7.0,8.0,8.0
style_equations,9.0,9.0,7.0,7.0,9.0,6.0,9.0,8.0,8.0,9.0
style_anaphora,8.0,7.0,5.0,7.0,9.0,9.0,9.0,8.0,8.0,4.0
syntax_monotone,7.0,7.0,7.0,7.0,7.0,5.0,7.0,5.0,7.0,7.0
syntax_varied,9.0,8.0,7.0,7.0,9.0,5.0,9.0,8.0,8.0,8.0
syntax_simple,9.0,8.0,7.0,7.0,9.0,5.0,9.0,6.0,8.0,8.0
syntax_complex,9.0,9.0,7.0,7.0,9.0,5.0,9.0,9.0,9.0,9.0
context_locked,8.0,8.0,7.0,7.0,7.0,5.0,8.0,8.0,8.0,7.0
terms_long,9.0,8.0,7.0,7.0,9.0,5.0,9.0,8.0,8.0,9.0
add_punctuation,9.0,8.0,7.0,7.0,5.0,5.0,3.0,8.0,8.0,5.0
strip_punctuation,9.0,8.0,7.0,7.0,7.0,5.0,5.0,9.0,8.0,7.0
add_typos,8.0,8.0,7.0,7.0,6.0,5.0,8.0,8.0,8.0,7.0
lowercase,9.0,8.0,7.0,7.0,7.0,5.0,7.0,8.0,8.0,7.0
ideas_down_v2,8.0,3.0,5.0,1.0,7.0,7.0,7.0,7.0,6.0,4.0
lexdiv_down_more,4.0,6.0,5.0,7.0,5.0,5.0,7.0,8.0,8.0,5.0
literary_echo25,8.0,6.0,7.0,7.0,4.0,5.0,7.0,8.0,8.0,4.0
