набор,текст,условие,крупный,мелкий,средний
LLM,coling::019875e1-f507-4de8-a2a7-1f1dffeba025,анафора,15.755086019892527,3.1497884905437155,14.65419268232922
LLM,coling::019875e1-f507-4de8-a2a7-1f1dffeba025,беднее словарь,23.77897162754754,3.9399349455431047,14.817969392204756
LLM,coling::019875e1-f507-4de8-a2a7-1f1dffeba025,без синонимов,20.45146644106224,4.025879881895323,14.398761498846124
LLM,coling::019875e1-f507-4de8-a2a7-1f1dffeba025,богаче словарь,23.00713753836745,4.755417431533338,19.112105362557468
LLM,coling::019875e1-f507-4de8-a2a7-1f1dffeba025,исходный,21.241164453999883,3.9007641873908474,16.08800325593561
LLM,coling::019875e1-f507-4de8-a2a7-1f1dffeba025,каждое предложение о своём,29.024675507305638,4.5066262532967185,19.95056270585338
LLM,coling::019875e1-f507-4de8-a2a7-1f1dffeba025,меньше мыслей,20.28237307603707,3.440688712535232,18.023911810148935
LLM,coling::019875e1-f507-4de8-a2a7-1f1dffeba025,ни одного слова дважды,23.355773083842237,4.655879951646836,18.76775305139334
LLM,coling::019875e1-f507-4de8-a2a7-1f1dffeba025,одна тема,22.708588456928954,3.9943634276696307,14.745667351606722
LLM,coling::019875e1-f507-4de8-a2a7-1f1dffeba025,перемешивание,16.883770932251686,5.8328155752082065,13.905000584791441
LLM,coling::019875e1-f507-4de8-a2a7-1f1dffeba025,поле: значение,15.72276207826683,2.7298233779755137,12.954779560645795
LLM,coling::019875e1-f507-4de8-a2a7-1f1dffeba025,редкие синонимы,21.219767432011192,4.152428758925834,17.30218759791425
LLM,coling::019875e1-f507-4de8-a2a7-1f1dffeba025,тема вписана,21.745189211004053,4.60562623041607,17.414033173749292
LLM,coling::019875e1-f507-4de8-a2a7-1f1dffeba025,термин в той же обёртке,22.604092861729935,4.1842681392667975,16.72452041303675
LLM,coling::019875e1-f507-4de8-a2a7-1f1dffeba025,художественный стиль,24.487233303374616,4.502210385600372,21.618774825642404
LLM,coling::019875e1-f507-4de8-a2a7-1f1dffeba025,чужие хапаксы,18.016927238390625,4.63367496674897,14.095593263622344
LLM,coling::07106895-c293-4117-be28-f75985334b33,анафора,17.217999912975174,3.325275449802493,11.229048157390782
LLM,coling::07106895-c293-4117-be28-f75985334b33,беднее словарь,20.828420667488835,2.947379963714648,14.089067031391838
LLM,coling::07106895-c293-4117-be28-f75985334b33,без синонимов,19.042198409713354,2.7876936670141133,12.848042331557398
LLM,coling::07106895-c293-4117-be28-f75985334b33,богаче словарь,20.88921797742347,3.6236090745892686,16.637657721523087
LLM,coling::07106895-c293-4117-be28-f75985334b33,исходный,21.307387462805128,3.191953630260769,15.352235942325112
LLM,coling::07106895-c293-4117-be28-f75985334b33,каждое предложение о своём,19.82055539634516,3.9081939147919593,17.68681013141567
LLM,coling::07106895-c293-4117-be28-f75985334b33,меньше мыслей,20.221807996121832,3.672115815463804,13.0500925146253
LLM,coling::07106895-c293-4117-be28-f75985334b33,ни одного слова дважды,20.166071538364097,3.664294542229329,16.740185892829604
LLM,coling::07106895-c293-4117-be28-f75985334b33,одна тема,19.20648153728928,3.4396024628524096,11.789897615695732
LLM,coling::07106895-c293-4117-be28-f75985334b33,перемешивание,17.191307140613322,4.61349707547017,14.95702632147688
LLM,coling::07106895-c293-4117-be28-f75985334b33,поле: значение,18.817508542729914,2.8269672504101635,14.184776402924038
