вариант,уместность слов,уместность слов — почему,связность изложения,связность изложения — почему,тематический разброс,тематический разброс — почему,скорость подачи нового,скорость подачи нового — почему,грамотность,грамотность — почему,жёсткость формы,жёсткость формы — почему,пунктуация,пунктуация — почему,синтаксическая сложность,синтаксическая сложность — почему,смысловая сложность,смысловая сложность — почему,естественность как текста,естественность как текста — почему
человек (опорный),9.0,"Every technical term and content word, such as ""ergodic theory"" and ""curriculum learning,"" fits the scientific context precisely.",8.0,The text logically moves from stating a general scientific problem to describing the proposed methodology and its specific results.,7.0,"The passage stays focused on machine learning applications for physics and dynamical systems, incorporating related mathematical metrics like entropy.",7.0,"Each sentence advances the abstract by introducing new aspects of the research, moving from the overarching problem to curriculum learning, entropy metrics, and findings.",9.0,"The text is written in clear, flawless, and publishable academic English.",5.0,"The text follows standard academic abstract conventions, moving smoothly through context, methodology, and contributions without relying on explicit repeating frames or list structures.",9.0,"Commas, colons, and semicolons are used correctly throughout the text to set off clauses and structure complex thoughts.",8.0,The text features sophisticated sentence structures with multiple embedded subordinate clauses and introductory participial phrases.,8.0,"The concepts require tracking abstract mathematical and computational ideas across the text, such as using ergodic theory and dataset entropy for curriculum learning.",9.0,The prose reads exactly like a well-crafted abstract for a high-level scientific journal or conference paper.
человек 1,6.0,"The content words precisely fit the theological and historical topic of Lutheran catechisms, though the lower half degenerates into list fragments.",4.0,"The text opens with a coherent historical overview before devolving into unstructured lists of book titles, index topics, and search tags.",5.0,"The text stays strictly within the domain of Lutheran theology, church history, and catechetical resources.",3.0,"The text rapidly repeats the same core topics—such as the Creed, Baptism, and the Lord's Prayer—through different list variations.",5.0,"The opening paragraph consists of well-formed prose, but the remainder disintegrates into comma-separated keyword lists and fragments.",8.0,The latter half is heavily structured by repeating frames of book titles and catechism section names.,5.0,"Punctuation is used correctly in the initial prose, but degenerates into long strings of comma-separated items without sentence-ending punctuation.",4.0,"The text begins with compound and complex sentences containing relative clauses, but quickly loses sentence structure entirely in favour of raw lists.",4.0,"The opening offers simple historical and doctrinal descriptions, while the rest consists of bare topical labels with no sustained argument.",4.0,The text appears to be scraped from a website or catalog entry where prose paragraphs are combined with raw metadata tags and product titles.
человек 2,9.0,Every technical term and content word is used with precise domain accuracy within distributed computing theory.,9.0,"The text forms a logical and continuous academic abstract, moving smoothly from defining the problem to introducing new concepts, proving bounds, and discussing implications.",7.0,The content focuses entirely on distributed agreement algorithms and dynamic network theory.,7.0,"The text steadily introduces new concepts, bounds, and algorithms sentence by sentence without restating previous claims.",9.0,The text is well-formed academic prose with clear LaTeX mathematical notation embedded appropriately.,5.0,It follows standard academic abstract conventions without using explicit frames or rigid repeated sentence patterns.,9.0,"Punctuation is correctly applied throughout, accurately handling complex mathematical variables and clause boundaries.",8.0,"The sentences feature multiple embedded clauses, complex conditional structures, and varied syntactic framing.",8.0,"The text relies on highly abstract theoretical computer science concepts, mathematical parameters, and layered proofs.",9.0,The passage reads naturally as a publishable abstract from a theoretical computer science conference or journal.
loop_local_3,5.0,"The underlying academic vocabulary fits the scientific domain precisely, but the words are repeatedly disrupted by verbatim phrase stuttering.",3.0,"The text loops and stutters endlessly across short phrase boundaries, preventing the argument from advancing.",5.0,The text stays strictly within the single academic subject of scientific system modeling and prediction.,2.0,Almost the entire passage consists of four identical repetitions of the same opening sentences broken up phrase by phrase.,3.0,Sentence structure is severely damaged by immediate repetitive stuttering that breaks clauses apart multiple times per sentence.,8.0,"The writing is governed by a rigid, artificial stuttering repetition pattern applied every few words throughout the text.",4.0,"Basic punctuation marks like commas and colons exist from the original text, but they appear in disjointed positions due to the repetitive phrase splices.",,"The text's word order is severely corrupted by phrase-level duplication, rendering true syntax evaluation impossible.",,"The text is too heavily degraded by phrase repetitions to convey a coherent, trackable argument.",2.0,"The extreme, mechanical phrase-repetition defect does not correspond to any natural genre of writing."
loop_phrase,4.0,"The underlying fragments contain fitting academic vocabulary, but they are repeatedly interrupted by arbitrary pasted phrase repetitions.",2.0,The text cannot advance a unified argument because the same phrase is loops verbatim dozens of times across the passage.,5.0,"The text remains confined to a single domain of complex systems, machine learning, physics, and data entropy.",2.0,"The text repeats the exact same long string of words over and over, introducing almost no new information past the fragments.",3.0,"Repeating a long phrase repeatedly creates ungrammatical, broken sentence structures throughout the entire passage.",8.0,The text is severely corrupted by an identical repeating phrase inserted mechanically at regular intervals.,3.0,"Punctuation is incomplete and broken by the repetitive phrase insertions, leaving fragments unclosed.",,"The sentence structure is destroyed by infinite looping repetitions, making syntax impossible to meaningfully evaluate.",,"Meaning is severely disrupted by constant textual loops, preventing coherent semantic evaluation.",1.0,No human author or valid genre would produce text that loops the same fragment dozens of times verbatim.
loop_tail_early,5.0,"The initial scientific vocabulary fits its context perfectly, but the infinite repetition of ""constraints. Not surprisingly,"" distorts the text.",3.0,"The text begins to develop an academic argument before collapsing into an endless, mechanical loop of two repeated words.",5.0,The excerpt remains strictly confined to a single scientific modeling domain without bringing in outside fields or broad perspectives.,2.0,"After introducing a single preliminary idea, the text halts entirely, adding zero new information due to an infinite phrase loop.",4.0,"The opening sentences consist of publishable academic prose, but the massive repetition of fragmented words severely degrades overall readability.",9.0,The main body of the text consists of a single phrasal sequence repeated identically dozens of times in succession.,5.0,"Punctuation is accurate in the well-formed opening section, but becomes a monotonous, repeating mechanical artifact in the loop.",,"The text degenerates into a endless word repetition, rendering overall sentence complexity impossible to rate.",,Severe repetitive damage prevents the text from developing any sustained or coherent argument.,2.0,"The severe repetition loop is a clear sign of severe text corruption, making it impossible for a human to have written it for a real purpose."
echo_p25,6.0,"The text consists of standard scientific prose, though it suffers from repetitive word duplications caused by text corruption.",6.0,"The passage presents a logical progression from the problem of modeling complex systems to a proposed curriculum learning solution, despite several duplicated phrases.",7.0,"The text stays strictly within the domain of scientific modeling, machine learning, and dynamical systems theory.",7.0,"The text steadily introduces new technical concepts, moving from general system prediction to curriculum learning and ergodic theory.",4.0,"Severe phrase repetitions (e.g., ""behavior of complex systems is key behavior of complex systems is key"") break the grammatical continuity of almost every sentence.",5.0,The text is written as standard continuous prose without any explicit repeating structural frame or template.,6.0,"The underlying punctuation is correct according to standard English grammar, though duplicated text blocks disrupt the flow.",7.0,"Sentences feature complex subordinate structures, participial phrases, and multi-layered clauses, though damaged by stuttered repetitions.",7.0,"The content involves abstract scientific reasoning about ergodic theory, curriculum learning, and complex dynamical systems.",3.0,Mechanical stuttering and repeating phrases throughout the passage make it unnaturally corrupted.
collapse_vocab_10,2.0,"The text has been heavily damaged by pervasive word-substitution artifacts, repeating terms like ""learning,"" ""based,"" ""prediction,"" and ""complex"" out of syntactic context.",2.0,"Because key content words are replaced with repeating placeholder tokens, the underlying argument cannot be logically tracked across sentences.",5.0,"The text stays strictly within the general domain of machine learning and data-driven modeling of complex systems, despite its heavy structural degradation.",2.0,The severe word substitution makes it impossible for sentences to advance any coherent new information beyond repeating the same corrupted terminology.,2.0,"The text features broken clause structures, ungrammatical word order, and nonsensical fragments throughout every sentence.",5.0,The passage follows standard paragraph structure and typical academic paper phrasing without using any explicit repetitive template or frame.,4.0,"Sentence boundaries are marked with capital letters and periods, but internal punctuation is disrupted by broken sentence structures and erroneous hyphenated fragments like ""ex-nihilo"".",,The syntax is too severely damaged by word substitution and broken clauses for structural complexity to be meaningfully evaluated.,,"The semantic content is corrupted beyond repair by garbled word choices, rendering the text unable to communicate coherent ideas.",1.0,"The high density of repeated, misapplied keywords makes the text completely artificial and recognizable as damaged synthetic text."
expand_vocab_100,2.0,"Content words appear arbitrarily inserted throughout, such as using ""radioactivity,"" ""villarreal,"" and ""angiograms"" in nonsensical contexts.",2.0,The text lacks any meaningful topic or logical connection between adjacent sentences.,9.0,"The writing jumps randomly between unrelated terms including infrared satellites, medical angiograms, military researchers, and grocery production.",9.0,"Sentence after sentence introduces entirely new, unrelated terms and topics without building on previous material.",3.0,"The text is severely degraded with broken grammar, bad agreement, and ungrammatical clause structures like ""we blocks the either of make introduced.""",5.0,It is written in standard continuous prose paragraphs without any specialized list or form-based template.,6.0,"Sentence boundaries are generally marked with capitalization and periods, though commas and colons are applied arbitrarily.",,The text is too damaged and syntactically broken for syntax complexity to be evaluated meaningfully.,,"The text is composed of incoherent word salad, making semantic evaluation impossible.",1.0,The passage is clearly machine-generated nonsense that serves no real-world genre or purpose.
shuffle_words,2.0,"The text consists of a severely scrambled bag of words from a machine learning paper, rendering word placement largely arbitrary and nonsensical throughout.",1.0,"Because the word order has been completely destroyed, there are no meaningful connections between adjacent words or sentences to form a coherent piece.",5.0,"Though scrambled, all the recognizable vocabulary centers around a single domain of scientific machine learning and complex dynamical systems.",2.0,The text is a chaotic jumble of fragmented phrases that fails to advance any clear ideas or information.,2.0,"Sentences do not exist and the word order is collapsed into unusable, non-grammatical fragments.",1.0,The text has no discernible organizational structure or repeating form whatsoever.,2.0,Punctuation marks appear randomly amid scrambled words and fail to delineate sound sentence boundaries.,,"The word order is completely destroyed, making sentence syntax impossible to evaluate.",,The text is too damaged for semantic content or logical argument to be tracked.,1.0,The severe word-scrambling makes the passage entirely artificial and unreadable in any human genre.
ngram_2,2.0,"Content words from entirely unrelated subjects, such as medical research, film titles, and astrophysics, are collaged together without logical context.",2.0,The text consists of fragmented phrases and sentences shuffled together without any connecting argument or narrative flow.,9.0,"The text rapidly jumps across vastly different topics, including movie releases, radiation, legal stipulations, dog shows, and military strikes.",9.0,"Nearly every fragment introduces completely unrelated entities, subjects, and facts in immediate succession.",3.0,"The passage is heavily damaged, full of broken sentences, stray punctuation tokens, and ungrammatical fragments.",2.0,"The text lacks any explicit repeating frame or template structure, reading as unstructured noise.",3.0,Quotation marks and punctuation marks appear randomly attached to incomplete fragments and broken sentences.,,The text is too severely damaged and fragmented for syntactic complexity to be meaningfully evaluated.,,"Because the text is a collection of damaged and contextless fragments, it lacks meaningful semantic structure to judge complexity.",1.0,The severe degradation and random mixing of unrelated phrases make it impossible for this text to belong to any real genre or serve any purpose.
ngram_4,3.0,"Content words switch rapidly between unrelated subject areas including planetary colonization, demonology, news crime reports, Malayalam film cast lists, and mental health discussions.",2.0,"The passage is composed of disjointed, truncated sentence fragments from disparate sources stitched together with no logical thread.",9.0,"The text wildly jumps across fields including complex systems science, sci-fi colonization, dark fantasy/magic, local crime news, Indian cinema cast lists, and clinical psychology.",9.0,Virtually every sentence introduces completely unrelated concepts and narrative threads not present in the preceding sentence.,3.0,"The text contains mid-sentence truncation at the end, nonsensical transitions, stray punctuation, and ungrammatical combinations of disparate clauses.",5.0,"The text has no visible structural template, list format, or repeating phrasal frame, reading as free continuous prose fragments joined together.",4.0,"While some individual fragments contain standard punctuation, there are unclosed quotation marks, random hyphenation, and missing terminal punctuation.",,"Word order and clause boundaries are severely damaged by splicing unrelated texts, making syntax evaluation impossible.",,"The text is too damaged and incoherent for its semantic claims to form a meaningful, evaluate-able argument.",1.0,The text is clearly a machine-generated or deliberately corrupted mashup of unrelated sentences that no human would write.
marker_p3,3.0,"Every few words, the noun ""item"" has been artificially inserted as a modifier or filler throughout the entire passage, rendering the vocabulary highly corrupted.",6.0,"Despite the intrusive inserted word, the underlying text maintains a clear progression of ideas from explaining the problem of modeling complex systems to introducing curriculum learning.",7.0,"The text stays focused on a single topic, covering physical system modeling, computational constraints, machine learning, and ergodic theory to address curriculum learning.",7.0,"The text steadily advances its argument, introducing new concepts such as neural networks, curriculum learning, and ergodic theory in sequential sentences.",4.0,"While the underlying sentences are well-formed English, the text is heavily damaged by the systematic intrusion of stray ""item"" tokens across every clause.",5.0,"The text is standard continuous academic prose without any repeating structural frame, list format, or explicit template layout.",5.0,"Sentences and clauses retain standard punctuation marks like commas, colons, and periods, but their placement relative to the intruding ""item"" words creates unnatural boundaries.",7.0,The text exhibits complex sentence structures with multiple subordinate clauses and passive constructions beneath the repeated token insertions.,7.0,"The content deals with abstract concepts in machine learning, dynamical systems, and ergodic theory that require sustained reader attention.",2.0,"No real genre or authentic purpose accounts for a text with the word ""item"" inserted every three to four words."
hapax_swap_wide,3.0,"Many content words appear completely arbitrary and unrelated to the context, such as ""angiogram,"" ""tablespoons,"" and ""tasmanian mistruths.""",4.0,"While some underlying structure of a scientific paper remains, the text fails to form a connected argument due to extensive word corruption.",8.0,"The text randomly mixes terms from physics, medicine, geography, and household items due to word degradation.",8.0,"The text continuously introduces unpredictable, random words from entirely different subjects sentence after sentence.",3.0,"Syntactic structures collapse frequently, featuring severe grammatical errors and inappropriate word insertions like profanity and fragments.",5.0,The text maintains the typical format and section progression of a standard scientific abstract.,6.0,Basic sentence boundaries and punctuation marks are generally intact despite the underlying text being heavily corrupted.,6.0,"The underlying syntax attempts complex academic structures with complex clause arrangements, though severely damaged.",,The severe semantic corruption makes the content impossible to follow as a meaningful intellectual argument.,2.0,The text is severely degraded by random word substitutions and is clearly not authentic human writing in its current form.
