набор,текст,условие,beta,q*
механические,0,исходный,0.7969959726693906,0.3983333333333334
механические,0,перемешивание,0.7868837800649972,0.395
механические,0,эхо x2,0.6660107074861852,0.5316666666666667
механические,0,эхо x4,0.5181231885238463,0.6483333333333333
механические,0,эхо на четверти,0.7662580035892909,0.425
механические,0,словарь к 25,0.5602668454840395,0.6433333333333334
механические,0,словарь к 60,0.6678742956203148,0.5266666666666667
механические,0,все слова разные,0.8769761033654128,0.26166666666666666
механические,0,чужие хапаксы,0.7907354237194896,0.39166666666666666
механические,0,хапаксы одного домена,0.7826209807370245,0.39999999999999997
механические,0,20 чужих хапаксов,0.7689729290910008,0.4183333333333333
механические,0,маркер каждые 3,0.7898988670145823,0.48666666666666664
механические,0,без пунктуации,0.7804736969013167,0.38833333333333336
механические,0,без служебных,0.8010655637506439,0.3866666666666667
механические,1,исходный,0.8188629700799743,0.34
механические,1,перемешивание,0.8196244420993883,0.33166666666666667
механические,1,эхо x2,0.7018898923891164,0.48333333333333334
механические,1,эхо x4,0.4508404880077399,0.705
механические,1,эхо на четверти,0.7742663501243277,0.4033333333333333
механические,1,словарь к 25,0.6832331182688752,0.5783333333333333
механические,1,словарь к 60,0.7243024338602951,0.4816666666666667
механические,1,все слова разные,0.8480387104859416,0.29833333333333334
механические,1,чужие хапаксы,0.8395324360643682,0.3116666666666667
механические,1,хапаксы одного домена,0.8072881465189597,0.35000000000000003
механические,1,20 чужих хапаксов,0.8337212264148436,0.3216666666666666
механические,1,маркер каждые 3,0.8587995718164071,0.4033333333333333
механические,1,без пунктуации,0.8222801187867601,0.3233333333333333
механические,1,без служебных,0.8496473525293977,0.2966666666666667
механические,2,исходный,0.7833533305239474,0.3933333333333333
механические,2,перемешивание,0.7647175275301353,0.39833333333333326
механические,2,эхо x2,0.655634243717453,0.525
механические,2,эхо x4,0.540864053140049,0.6483333333333333
механические,2,эхо на четверти,0.7358393167564365,0.4483333333333333
механические,2,словарь к 25,0.6046396146114784,0.6166666666666667
механические,2,словарь к 60,0.6908975571194359,0.5083333333333333
механические,2,все слова разные,0.8879411014596613,0.22999999999999998
механические,2,чужие хапаксы,0.7859761874092173,0.38000000000000006
механические,2,хапаксы одного домена,0.7789716581486186,0.3933333333333333
механические,2,20 чужих хапаксов,0.776494373794386,0.40833333333333327
механические,2,маркер каждые 3,0.7662687650352323,0.48500000000000004
механические,2,без пунктуации,0.7528349387876608,0.425
механические,2,без служебных,0.7761167936559198,0.4033333333333333
механические,3,исходный,0.828913085507288,0.315
механические,3,перемешивание,0.813459789708737,0.3433333333333333
механические,3,эхо x2,0.7039645040423185,0.47500000000000003
механические,3,эхо x4,0.558408833682884,0.6233333333333334
механические,3,эхо на четверти,0.7777496441771454,0.39333333333333337
механические,3,словарь к 25,0.6190438955943632,0.6066666666666666
механические,3,словарь к 60,0.6901295964323584,0.5216666666666666
механические,3,все слова разные,0.9015563008058715,0.205
