текст,условие,длина,второе,отрыв,медиана рёбер,к медиане,отрезает точек,токен A,токен B,класс A,класс B,норма A,норма B,разрыв норм,косинус,одиночка A,одиночка B,есть сток
0,исходный,1.0277624768953346,0.9169824798969591,1.1208092841760988,0.688691779496208,1.4923402710675069,2,Ġnetwork,Ġthe,смысл-част,сток,34.22879,26.152227,8.076563,0.37849774956703186,False,False,True
0,чужие хапаксы,1.0612489966154406,0.8848984294098673,1.1992890498440372,0.6400846158168612,1.6579823516943915,4,Ġd,",",служ,сток,34.583904,26.091732,8.492172,0.3696494698524475,True,False,True
0,перемешивание,1.0534212922971988,0.9315105054092112,1.1308743016638685,0.666956658203955,1.5794448999638941,5,Ġnetwork,Ġthe,смысл-част,сток,35.12353,26.130798,8.992733,0.3721398115158081,False,False,True
1,исходный,1.028210036422423,0.9387628763909711,1.0952819527496944,0.7054509691715186,1.457521615754462,3,Ġplace,Ġthe,смысл-част,сток,32.973145,26.166174,6.8069706,0.4230613708496094,True,False,True
1,чужие хапаксы,1.1660817836181931,0.903875329594684,1.2900913936229323,0.6786834773540416,1.7181526035735444,4,Ġplace,Ġand,смысл-част,сток,33.972458,26.11679,7.855667,0.38590314984321594,False,False,True
1,перемешивание,1.207136548095751,0.9623376508287761,1.2543794239539015,0.6940360533061228,1.7392994821312426,3,Ġshow,Ġto,смысл-част,сток,35.027397,26.105415,8.921982,0.3499082624912262,True,False,True
2,исходный,1.0052879318605699,0.9836923140797305,1.0219536306950234,0.6507893924863991,1.5447208320648518,5,.,Ġbrokers,сток,смысл-редк,26.133404,34.45558,8.322178,0.3641159236431122,False,True,True
2,чужие хапаксы,1.0661554436691862,1.0414434979108103,1.0237285515805221,0.6377493070190507,1.6717469261590874,1,.,Ġtrading,сток,смысл-редк,26.148897,34.875298,8.7264,0.35394784808158875,False,True,True
2,перемешивание,1.0934157965669626,1.0383535299487012,1.0530284388025162,0.6652903894121518,1.6435165966144512,3,Ġfund,Ġthe,смысл-редк,сток,35.060356,26.190506,8.86985,0.3491745591163635,False,False,True
3,исходный,1.1030207496534359,1.0914417514240233,1.0106089016791828,0.669458023637005,1.6476324290819437,5,ĠManchester,Ġthe,смысл-редк,сток,34.515266,26.142963,8.372303,0.36051321029663086,False,False,True
3,чужие хапаксы,1.1320163240713013,1.0287904777434216,1.1003370934714503,0.6702558187727006,1.6889317367570582,6,Ġthe,Ġduo,сток,смысл-редк,26.158833,34.505997,8.347164,0.3609141409397125,False,False,True
3,перемешивание,1.1850113709394758,0.951762653727664,1.2450702560121185,0.6892143193446043,1.7193655698656125,8,Ġthe,ĠUnited,сток,смысл-част,26.126093,34.87481,8.748716,0.3683115243911743,False,False,True
4,исходный,1.0493435104306357,0.9360291582111614,1.1210585709060907,0.6785108968466885,1.5465389211983986,7,ĠMars,.,смысл-редк,сток,34.02876,26.110012,7.918747,0.39461642503738403,False,False,True
4,чужие хапаксы,1.1104449570587094,0.9141815752008376,1.2146875272724178,0.6602520161918263,1.6818501569498976,4,Ali,.,подслово,сток,34.418926,26.099525,8.319401,0.3940665125846863,False,False,True
4,перемешивание,1.1264326917801075,0.8865116365853908,1.2706349756657784,0.6733276855535565,1.6729338714983093,4,.,Ali,сток,подслово,26.147266,34.697674,8.550407,0.3772168755531311,False,False,True
5,исходный,1.0073042916492687,0.9481021790318782,1.062442755566539,0.6860319680512619,1.4683051790000559,7,Ġhomosexuality,.,смысл-редк,сток,33.859154,26.110378,7.7487755,0.388767808675766,True,False,True
5,чужие хапаксы,1.0852492239182856,0.9857654521056184,1.1009203270414554,0.6592724254105673,1.6461316780273918,3,Ġhomosexuality,.,смысл-редк,сток,34.517864,25.894894,8.622971,0.4033774733543396,False,False,True
5,перемешивание,1.1520497832269203,0.9928620127630711,1.1603322198024677,0.6728437733586534,1.712209919809766,8,",",Ġgay,сток,смысл-редк,26.168827,34.896954,8.728127,0.35319122672080994,False,True,True
6,исходный,1.0157364687189927,0.9738428295374991,1.0430188916638528,0.6879169733577106,1.4765393325900957,2,Ġdata,Ġthe,смысл-част,сток,34.57419,26.613892,7.9602966,0.42204761505126953,False,False,True
6,чужие хапаксы,1.1313762055115666,0.9890079799791748,1.1439505326695034,0.6698383600824158,1.6890286865212734,6,Ġdisease,Ġthe,смысл-редк,сток,35.022438,26.108803,8.913635,0.3557719588279724,True,False,True
6,перемешивание,1.130266834567561,0.9019936968815351,1.2530762005047653,0.692210954787235,1.632835809301763,4,ĠGen,Ġthe,смысл-редк,сток,35.575825,26.1696,9.406225,0.348239928483963,True,False,True
7,исходный,1.0972396707669556,1.0106898466877237,1.0856344054141602,0.6900751987214746,1.5900291342158772,4,ĠEnglish,.,смысл-част,сток,33.952385,26.146845,7.80554,0.3892592787742615,False,False,True
7,чужие хапаксы,1.1571424365315877,0.9531070019266804,1.2140740065831592,0.6825201659357426,1.6953966992977163,3,Ġthe,Ġspeech,сток,смысл-редк,26.261671,34.25581,7.9941387,0.3668338358402252,False,False,True
7,перемешивание,1.1833818631697968,0.9144469965291171,1.2940956311972713,0.6952944510703369,1.7019866350840247,4,'s,Ġspeech,сток,смысл-редк,26.222317,34.6606,8.438282,0.3557489812374115,True,False,True
8,исходный,1.0719446965466999,1.0545854027346375,1.0164607757390232,0.6702274965578707,1.5993743945928112,5,.,ĠEbola,сток,смысл-редк,26.10232,34.305923,8.203604,0.3865693211555481,False,False,True
8,чужие хапаксы,1.1264217549036144,1.0193587294125832,1.1050297823541742,0.6612239138712918,1.703540557552905,5,ĠThe,ĠSydney,сток,смысл-редк,26.133896,34.393936,8.26004,0.3721063435077667,False,True,True
8,перемешивание,1.1524577324512748,1.0486354711910697,1.0990070087389672,0.6988607662596678,1.6490519830141233,3,Ġat,ĠWest,сток,смысл-част,26.113098,34.764114,8.651016,0.3775680959224701,False,False,True
9,исходный,1.0624209705527303,0.9785751511017085,1.0856815333565601,0.5945761732599721,1.7868542641519507,5,Ġthe,Ġline,сток,смысл-част,26.18013,34.706585,8.526455,0.3451939821243286,False,False,True
9,чужие хапаксы,1.0239945339314693,1.0074051432526054,1.0164674468757444,0.6018811593706642,1.70132345561734,3,Ġover,Ġthe,служ,сток,34.02021,26.12437,7.8958397,0.3881472647190094,False,False,True
9,перемешивание,1.1560236837846458,1.048841345002994,1.102191183911944,0.671771876947809,1.7208575164489344,5,Ġthe,Ġtwo,сток,смысл-част,26.182192,34.829315,8.647123,0.35640576481819153,False,True,True
10,исходный,1.1115061044573398,0.940326932192835,1.182042188098682,0.6817989500352645,1.6302549371773742,4,Ġthe,ĠJoshua,сток,смысл-редк,26.139202,34.618916,8.479713,0.3469092547893524,False,False,True
10,чужие хапаксы,1.1486209295319902,0.9471142931980958,1.212758521100418,0.6590354064079951,1.7428819732044911,4,ĠJoshua,Ġto,смысл-редк,сток,34.913574,26.243128,8.670446,0.33429384231567383,False,False,True
10,перемешивание,1.1280417215015617,0.9420236349715221,1.1974664749634047,0.6757058264113437,1.6694272528217824,6,ĠBBC,Ġon,смысл-редк,сток,34.909084,26.1849,8.724184,0.3629192113876343,True,False,True
11,исходный,1.0423357940917732,0.9897002847331039,1.053183282020439,0.6733083006739715,1.5480810099153846,3,.,Ġbuyers,сток,смысл-редк,26.10491,34.11805,8.01314,0.38614192605018616,False,False,True
11,чужие хапаксы,1.098074818649158,0.9407736162605719,1.1672040963625594,0.6363418955223176,1.7256050974733388,5,.,Ġover,сток,служ,26.105642,34.259384,8.153742,0.39049503207206726,False,False,True
11,перемешивание,1.0849936250300323,0.9573923513573284,1.1332800220221095,0.6772085375948318,1.602155857165485,6,Ġas,Ġover,сток,служ,26.349586,34.154343,7.804756,0.43444547057151794,False,False,True
12,исходный,1.0077908971512182,0.9746364035801839,1.034017294500027,0.6365885181125703,1.583111960830256,6,Ġelevator,",",смысл-редк,сток,33.449917,26.100576,7.3493404,0.4098742604255676,False,False,True
12,чужие хапаксы,1.0779854416041155,0.9759053348843062,1.104600418781306,0.6230452336828981,1.7301880880012661,10,Ġelevator,Ġthe,смысл-редк,сток,33.94002,26.181961,7.7580605,0.38954421877861023,False,False,True
12,перемешивание,0.9355998846199063,0.9289372389729704,1.0071723313130412,0.693571802338601,1.3489589419080037,5,Ġown,",",смысл-част,сток,36.197624,28.206284,7.9913406,0.6257942318916321,True,False,True
13,исходный,0.9337633434019994,0.8573417008361097,1.0891379043983986,0.6733025421618732,1.3868406621543796,3,ĠIndian,Ġthe,смысл-редк,сток,33.471687,26.151703,7.3199844,0.40655317902565,False,False,True
13,чужие хапаксы,1.0517437375868204,0.9258985272598682,1.1359168490086946,0.633238561571758,1.6608965426494133,5,Ġflavor,.,смысл-редк,сток,34.64662,26.092001,8.554621,0.38678449392318726,True,False,True
13,перемешивание,1.1039663702778473,0.93581951866968,1.179678718228914,0.6665169453056499,1.6563215354886331,3,Ġfood,Ġand,смысл-част,сток,34.662918,26.169645,8.493273,0.3614259958267212,True,False,True
14,исходный,1.0643960228875269,0.9669844438367536,1.1007374830811842,0.6949536191730085,1.531607280719184,8,Ġmother,",",смысл-редк,сток,34.025486,26.104311,7.921175,0.38819605112075806,False,False,True
14,чужие хапаксы,1.2034265870139826,1.011200330382141,1.190097106237295,0.6313276781779744,1.9061837910973558,4,Ġbur,",",смысл-редк,сток,35.624645,26.108456,9.51619,0.34643104672431946,True,False,True
14,перемешивание,1.221684446829646,0.9490311122032582,1.2872965186498464,0.6668603901442077,1.8319943197787745,6,Ġangry,",",смысл-редк,сток,35.233692,26.099466,9.134226,0.343450665473938,True,False,True
